unit_id,time_index,y_true_rul,y_pred_rul,abs_error,split,source_file
1,137,98.0,43.367153,54.632847,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,192,74.0,19.717875,54.282127,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,197,74.0,19.744785,54.255215,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,220,97.0,42.815662,54.184338,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,193,74.0,20.012371,53.98763,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,2159,67.0,13.020386,53.979614,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,191,74.0,20.43763,53.56237,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,196,74.0,20.783268,53.216732,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,199,74.0,20.794731,53.20527,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,194,74.0,20.891514,53.108486,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,195,74.0,20.932472,53.067528,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,198,74.0,21.16346,52.83654,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,1359,70.0,17.284998,52.715004,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,202,74.0,21.581161,52.41884,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
1,67,99.0,47.111477,51.888523,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,1057,71.0,19.179844,51.820156,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,205,74.0,23.057095,50.942905,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,435,73.0,22.34579,50.65421,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,1061,71.0,20.591526,50.408474,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
2,201,74.0,23.655941,50.34406,dev,runs/20260306_093821_DS01-005_cnn_train/predictions.csv
