unit_id,time_index,y_true_rul,y_pred_rul,abs_error,split,source_file
1,220,97.0,42.711166,54.288834,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,125,98.0,46.283215,51.716785,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,676,92.0,41.228504,50.771496,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,672,92.0,41.4122,50.5878,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,67,99.0,48.65905,50.34095,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,137,98.0,48.969597,49.030403,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,655,92.0,43.10624,48.89376,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,68,99.0,50.14965,48.85035,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,70,99.0,50.193256,48.806744,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,71,99.0,50.210945,48.789055,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,72,99.0,50.216972,48.783028,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,73,99.0,50.22021,48.77979,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,69,99.0,50.278885,48.721115,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,64,99.0,50.312515,48.687485,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,27,99.0,50.344692,48.655308,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,65,99.0,50.34973,48.65027,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,66,99.0,50.3625,48.6375,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,41,99.0,50.37046,48.62954,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,59,99.0,50.37233,48.62767,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
1,18,99.0,50.372665,48.627335,dev,runs/20260306_094340_DS01-005_cyclelayer_v1_train/predictions.csv
